,countries,count,latitude,longitude
0,Albania,1,41.153332,20.168331
1,Antigua & Barbuda,1,17.060816,-61.796428000000006
2,Argentina,10,-38.416097,-63.616671999999994
3,Armenia,4,40.069099,45.038189
4,Aruba,2,12.52111,-69.968338
5,Australia,345,-25.274398,133.775136
6,Austria,15,47.516231,14.550072
7,Bahamas,3,25.03428,-77.39628
8,Bahrain,11,25.930414000000003,50.637772
9,Bangladesh,1,23.684994,90.35633100000001
10,Belarus,3,53.709807,27.953389
11,Belgium,33,50.503887,4.469936
12,Belize,1,17.189877,-88.49765
13,Bermuda,3,32.321384,-64.75737
14,Bolivia,1,-16.290154,-63.588653
15,Bosnia and Herzegovina,1,43.915886,17.679076000000002
16,Brazil,30,-14.235004,-51.92528
17,Brunei,1,4.535277,114.72766899999999
18,Bulgaria,4,42.733883,25.48583
19,Burkina Faso,1,12.238333,-1.561593
20,Canada,232,56.130366,-106.34677099999999
21,Cayman Islands,1,19.513469,-80.566956
22,Chile,6,-35.675146999999996,-71.542969
23,China,83,35.86166,104.195397
24,Colombia,3,4.570868,-74.297333
25,Cook Islands,2,-21.236735999999997,-159.777671
26,Costa Rica,3,9.748917,-83.753428
27,Croatia,3,45.1,15.2
28,Cyprus,7,35.126413,33.429859
29,Czech Republic,7,49.817492,15.472961999999999
30,Denmark,14,56.26392,9.501785
31,Dominican Republic,1,18.735692999999998,-70.162651
32,Ecuador,2,-1.8312389999999998,-78.183406
33,Egypt,12,26.820553000000004,30.802497999999996
34,El Salvador,2,13.794185,-88.89653
35,Estonia,4,58.595271999999994,25.013607
36,Fiji,2,-16.578193,179.414413
37,Finland,5,61.92411,25.748151
38,France,63,46.227638,2.213749
39,Georgia,2,42.315407,43.356891999999995
40,Germany,39,51.165690999999995,10.451526
41,Gibraltar,3,36.137741,-5.345374
42,Greece,8,39.074208,21.824312
43,Guam,1,13.444304,144.793731
44,Guernsey,1,49.465691,-2.5852779999999997
45,Hong Kong,19,22.396428,114.10949699999999
46,Hungary,17,47.162494,19.503304
47,Iceland,3,64.96305100000001,-19.020835
48,India,52,20.593684,78.96288
49,Indonesia,28,-0.789275,113.921327
50,Iran,6,32.427908,53.68804599999999
51,Iraq,1,33.223191,43.679291
52,Ireland,94,53.41291,-8.243889999999999
53,Isle of Man,3,54.236107,-4.548056
54,Israel,104,31.046051000000002,34.851612
55,Italy,46,41.87194,12.56738
56,Jamaica,1,18.109581,-77.297508
57,Japan,8,36.204824,138.252924
58,Jersey,2,49.214439,-2.13125
59,Jordan,4,30.585164000000002,36.238414
60,Kazakhstan,3,48.019573,66.923684
61,Kenya,2,-0.023559,37.906193
62,Kuwait,44,29.311659999999996,47.481766
63,Latvia,2,56.879635,24.603189
64,Lebanon,13,33.854721000000005,35.862285
65,Lithuania,4,55.169438,23.881275
66,Luxembourg,8,49.815273,6.129583
67,Macau,2,22.198745000000002,113.543873
68,Macedonia,1,41.608635,21.745275
69,Malaysia,9,4.210483999999999,101.97576600000001
70,Maldives,1,3.202778,73.22068
71,Malta,8,35.937496,14.375416
72,Mexico,22,23.634501,-102.552784
73,Montenegro,1,42.708678000000006,19.37439
74,Nepal,1,28.394857000000002,84.12400799999999
75,Netherlands,36,52.132633,5.291266
76,New Caledonia,1,-20.904304999999997,165.618042
77,New Zealand,93,-40.900557,174.88597099999998
78,Nigeria,2,9.081999,8.675277000000001
79,Norway,12,60.472024,8.468946
80,Oman,6,21.512583,55.923255000000005
81,Pakistan,28,30.375321000000003,69.345116
82,Panama,7,8.537981,-80.782127
83,Papua New Guinea,1,-6.314993,143.95555
84,Paraguay,1,-23.442503,-58.44383199999999
85,Philippines,15,12.879721,121.77401699999999
86,Poland,22,51.919438,19.145135999999997
87,Portugal,11,39.399871999999995,-8.224454
88,Puerto Rico,3,18.220833,-66.590149
89,Qatar,24,25.354826,51.183884
90,Romania,11,45.943160999999996,24.96676
91,Russia,26,61.52401,105.31875600000001
92,Saudi Arabia,92,23.885942,45.079162
93,Serbia,4,44.016521000000004,21.005859
94,Singapore,28,1.352083,103.819836
95,Slovakia,4,48.669026,19.699023999999998
96,Slovenia,2,46.151241,14.995463
97,South Africa,29,-30.559482,22.937506
98,South Korea,11,35.907757000000004,127.766922
99,Spain,22,40.463667,-3.7492199999999998
100,Sri Lanka,1,7.873054,80.77179699999999
101,Suriname,1,3.9193050000000005,-56.02778299999999
102,Sweden,13,60.128161,18.643501
103,Switzerland,66,46.818188,8.227511999999999
104,Taiwan,12,23.69781,120.96051499999999
105,Tanzania,1,-6.369028,34.888822
106,Thailand,17,15.870032,100.992541
107,Trinidad and Tobago,4,10.691803,-61.222503
108,Turkey,38,38.963745,35.243322
109,Turks & Caicos Islands,1,21.694025,-71.797928
110,Uganda,2,1.373333,32.290275
111,Ukraine,7,48.379433,31.16558
112,United Arab Emirates,102,23.424076,53.847818000000004
113,United Kingdom,1068,55.378051,-3.435973
114,United States of America,2292,37.09024,-95.712891
115,Uruguay,1,-32.522779,-55.765834999999996
116,Venezuela,1,6.42375,-66.58973
117,Vietnam,4,14.058323999999999,108.277199
118,Yemen,1,15.552726999999999,48.516388
